adress,age,reg_date,price,实用面积,建筑面积,tdtr1uprice,tdtrlGuprice,tdtr1ltdayheldd,tdtr1ltperc
 俊民苑 文斌閣 (B座)  七樓 10室, 40 ,30/07/20,$720萬,554呎 ,665呎 , $12996 , $10827 ,-,-
  文安大廈  6樓 C室, 40 ,29/07/20,$530萬,265呎 ,346呎 , $20000 , $15318 ,[ 2467天,升38%]
  恆泰大樓  四樓 199A號, 57 ,29/07/20,$1230萬,801呎 ,-, $15356 ,-,-,-
 賀龍居 3座  13樓 C室, 25 ,29/07/20,$1140萬,676呎 ,853呎 , $16864 , $13365 ,[ 2618天,升24%]
 文豪閣 B座  4樓 D室, 35 ,29/07/20,$1450萬,991呎 ,1188呎 , $14632 , $12205 ,[ 2734天,升21%]
  鴻星大廈  五樓 482號, 56 ,29/07/20,$595萬,658呎 ,-, $9043 ,-,[ 5317天,升526%]
 傲玟 3座  11樓 A室, 0 ,28/07/20,$3616萬,1228呎 ,-, $29450 ,-,-,-
  布力架街34K號  地下 34K號, 64 ,28/07/20,$3688萬,1744呎 ,-, $21147 ,-,[ 6657天,升638%]
  仁華園  11樓 C室, 54 ,27/07/20,$1100萬,717呎 ,1100呎 , $15342 , $10000 ,[ 4823天,升187%]
半山壹號 2期 富甲半山 半山徑20號  35樓 20號, 11 ,27/07/20,$2350萬,1137呎 ,1491呎 , $20668 , $15761 ,[ 3947天,升34%]
 皓畋 6座  9樓 B室, 3 ,27/07/20,$4557萬,1477呎 ,-, $30853 ,-,-,-
  加多利軒  20樓 A室, 2 ,24/07/20,$1000萬,389呎 ,-, $25699 ,-,-,-
  新勝大樓  十八樓 A室, 45 ,24/07/20,$735萬,461呎 ,-, $15944 ,-,-,-
 寶雲閣 3座  6樓 C室, 44 ,22/07/20,$990萬,649呎 ,740呎 , $15254 , $13378 ,[ 1781天,升14%]
 傲玟 3座  9樓 C室, 0 ,22/07/20,$2852萬,934呎 ,-, $30538 ,-,-,-
半山壹號 2期 富甲半山 半山徑20號  57樓 20號, 11 ,22/07/20,$2300萬,1137呎 ,1491呎 , $20229 , $15426 ,[ 3934天,升10%]
  文安大廈  7樓 B室, 40 ,22/07/20,$528萬,265呎 ,343呎 , $19925 , $15394 ,[ 2104天,升23%]
  恆山閣  13樓 2室, 39 ,21/07/20,$533萬,341呎 ,420呎 , $15630 , $12690 ,[ 1448天,升37%]
  昌和閣  5樓 6號, 26 ,21/07/20,$1428萬,765呎 ,1250呎 , $18667 , $11424 ,[ 2136天,升35%]
 ONE HOMANTIN 3座  5樓 F室, 3 ,21/07/20,$1080萬,491呎 ,-, $21996 ,-,[ 1556天,升15%]
 皓畋 7座  23樓 B室, 3 ,21/07/20,$5900萬,1477呎 ,-, $39946 ,-,-,-
 俊民苑 文斌閣 (B座)  五樓 6室, 40 ,20/07/20,$777萬,596呎 ,715呎 , $13034 , $10864 ,-,-
  金富大廈  20樓 B3室, 40 ,20/07/20,$718萬,445呎 ,526呎 , $16135 , $13650 ,[ 5922天,升461%]
  全發大廈  十四樓 C室, 42 ,20/07/20,$518萬,366呎 ,458呎 , $14153 , $11310 ,[ 3737天,升210%]
  麗晶樓  4樓 F室, 53 ,20/07/20,$1088萬,712呎 ,860呎 , $15281 , $12651 ,[ 6600天,升431%]
  嘉樂園  十樓 310號, 45 ,17/07/20,$1100萬,714呎 ,-, $15406 ,-,[ 6137天,升400%]
天鑄 1期 6座  19樓 A室, 5 ,17/07/20,$8380萬,1911呎 ,-, $43851 ,-,[ 1756天,跌10%]
  加多利軒  8樓 J室, 2 ,16/07/20,$442萬,-,-,-,-,[ 1347天,升11%]
  萬基大廈  十樓 E室, 54 ,16/07/20,$1050萬,823呎 ,-, $12758 ,-,[ 5054天,升239%]
 冠華園 B座  十三樓 B2室, 55 ,16/07/20,$1200萬,1069呎 ,-, $11225 ,-,[ 937天,升20%]
 皓畋 9座  27樓 A室, 3 ,15/07/20,$4600萬,1468呎 ,-, $31335 ,-,[ 1525天,跌20%]
  加多利峰  18樓 B室, 6 ,14/07/20,$1950萬,959呎 ,-, $20334 ,-,[ 1755天,跌5%]
  儉德大廈  12樓 I室, 55 ,14/07/20,$650萬,1212呎 ,925呎 , $5363 , $7027 ,-,-
  恆山閣  14樓 2室, 39 ,13/07/20,$538萬,341呎 ,420呎 , $15777 , $12810 ,[ 1097天,升15%]
  瓊林別墅 (A-B座)  十樓 B2室, 54 ,10/07/20,$1100萬,741呎 ,745呎 , $14845 , $14765 ,[ 2117天,升56%]
 欣圖軒 2座  4樓 C室, 22 ,10/07/20,$715萬,539呎 ,685呎 , $13265 , $10438 ,-,-
  昌邦閣  7樓 B室, 29 ,09/07/20,$1688萬,914呎 ,1228呎 , $18468 , $13746 ,[ 6058天,升424%]
 皓畋 2座  15樓 C室, 3 ,09/07/20,$2150萬,917呎 ,-, $23446 ,-,[ 1386天,升13%]
 爵士花園 1座  2樓 B室, 25 ,09/07/20,$1820萬,1035呎 ,1295呎 , $17585 , $14054 ,[ 6029天,升335%]
  龍騰閣  11樓 1室, 53 ,09/07/20,$976萬,720呎 ,-, $13556 ,-,[ 8783天,升152%]
  成德大廈  三樓 10室, 58 ,09/07/20,$650萬,565呎 ,-, $11504 ,-,[ 4888天,升292%]
  建豐閣  7樓 B室, 26 ,08/07/20,$600萬,370呎 ,585呎 , $16216 , $10256 ,-,-
 皓畋 1座  17樓 D室, 3 ,08/07/20,$1350萬,671呎 ,-, $20119 ,-,-,-
 皓畋 1座  17樓 C室, 3 ,08/07/20,$1330萬,670呎 ,-, $19851 ,-,-,-
 爵士花園 5座  11樓 D室, 25 ,08/07/20,$1588萬,859呎 ,1075呎 , $18487 , $14772 ,[ 3796天,升104%]
 君頤峰 8座  27樓 C室, 16 ,08/07/20,$2600萬,1288呎 ,1681呎 , $20186 , $15467 ,[ 4604天,升75%]
 君頤峰 6座  17樓 A室, 16 ,08/07/20,$3328萬,1321呎 ,1732呎 , $25193 , $19215 ,[ 5932天,升217%]
  金富大廈  21樓 A3室, 40 ,07/07/20,$685萬,445呎 ,-, $15393 ,-,[ 1801天,升37%]
  加多利軒  15樓 J室, 2 ,07/07/20,$454萬,180呎 ,-, $25211 ,-,[ 1288天,升13%]
 雅麗居 1座  8樓 A室, 25 ,06/07/20,$1225萬,693呎 ,900呎 , $17677 , $13611 ,[ 7847天,升157%]
  加多利軒  23樓 A室, 2 ,06/07/20,$1014萬,389呎 ,-, $26078 ,-,-,-
 恆信園 6期  3樓 C室, 48 ,06/07/20,$1480萬,987呎 ,-, $14995 ,-,[ 4839天,升190%]
  鴻星大廈  十一樓 484號, 56 ,03/07/20,$488萬,610呎 ,-, $8000 ,-,-,-
 皓畋 2座  5樓 A室, 3 ,03/07/20,$1260萬,584呎 ,-, $21575 ,-,[ 639天,跌3%]
 巴富洋樓 B1座  3樓 C室, 46 ,02/07/20,$1915萬,1195呎 ,1450呎 , $16025 , $13207 ,[ 8488天,升133%]
  太平閣  22樓 B室, 29 ,02/07/20,$500萬,299呎 ,-, $16722 ,-,[ 5251天,升238%]
 ONE HOMANTIN 2座  5樓 B室, 3 ,30/06/20,$998萬,499呎 ,-, $20000 ,-,[ 1381天,升5%]
 皓畋 1座  10樓 E室, 3 ,30/06/20,$1130萬,519呎 ,-, $21773 ,-,[ 1390天,升16%]
 富威花園 C座  七樓 1室, 36 ,29/06/20,$610萬,352呎 ,488呎 , $17330 , $12500 ,[ 1399天,升53%]
 ONE HOMANTIN 2座  1樓 E室, 3 ,29/06/20,$1038萬,498呎 ,-, $20843 ,-,[ 1377天,升1%]
 ONE HOMANTIN 6座  9樓 E室, 3 ,29/06/20,$1000萬,484呎 ,-, $20661 ,-,[ 1255天,升1%]
  成德大廈  六樓 7室, 58 ,26/06/20,$704萬,565呎 ,-, $12457 ,-,[ 8928天,升334%]
天鑄 1期 6座  9樓 B室, 5 ,26/06/20,$2778萬,952呎 ,-, $29181 ,-,[ 1796天,升14%]
  錦華大廈  3樓 6室, 42 ,24/06/20,$438萬,319呎 ,420呎 , $13730 , $10429 ,-,-
  慧宜閣  10樓 12號, 25 ,24/06/20,$800萬,461呎 ,818呎 , $17354 , $9780 ,[ 9128天,升132%]
 君頤峰 8座  25樓 A室, 16 ,24/06/20,$3068萬,1321呎 ,1731呎 , $23225 , $17724 ,[ 5402天,升138%]
 翠華大廈 5座  10樓 126號, 57 ,22/06/20,$1888萬,1518呎 ,-, $12437 ,-,-,-
 巴富洋樓 B1座  2樓 A室, 46 ,22/06/20,$1818萬,1195呎 ,-, $15213 ,-,[ 5565天,升198%]
  富都大廈  6樓 C室, 41 ,22/06/20,$640萬,433呎 ,524呎 , $14781 , $12214 ,[ 6587天,升510%]
 ONE HOMANTIN 6座  7樓 E室, 3 ,19/06/20,$1000萬,484呎 ,-, $20661 ,-,[ 1255天,升8%]
  豪華之家  九樓 C1室, 55 ,19/06/20,$722萬,505呎 ,-, $14297 ,-,[ 4595天,升149%]
 傲玟 1座  3樓 A室, 0 ,19/06/20,$4494萬,1445呎 ,-, $31100 ,-,-,-
 賀龍居 1座  10樓 B室, 25 ,19/06/20,$1700萬,795呎 ,1000呎 , $21384 , $17000 ,[ 8816天,升108%]
  德富強大廈  九樓 504號 (後座), 60 ,18/06/20,$360萬,328呎 ,-, $10976 ,-,[ 5483天,升167%]
  嘉景樓  10樓 B室, 54 ,18/06/20,$970萬,606呎 ,780呎 , $16007 , $12436 ,[ 5715天,升263%]
 富威花園 D座  十五樓 1室, 36 ,18/06/20,$500萬,260呎 ,413呎 , $19231 , $12107 ,[ 2636天,升57%]
 俊民苑 文雄閣 (G座)  九樓 7室, 39 ,17/06/20,$680萬,485呎 ,582呎 , $14021 , $11684 ,-,-
  金富大廈  5樓 A4室, 40 ,17/06/20,$698萬,466呎 ,-, $14979 ,-,[ 1391天,升38%]
  瓊林別墅 (A-B座)  十二樓 A2室, 54 ,17/06/20,$1000萬,741呎 ,-, $13495 ,-,-,-
  嘉華閣  六樓 A室, 48 ,16/06/20,$1480萬,-,-,-,-,[ 1408天,升18%]
 鼎峰大廈 1座  5樓 B1室, 55 ,16/06/20,$1669萬,1173呎 ,1500呎 , $14228 , $11127 ,[ 5342天,升206%]
  恆德大樓  六樓 3號, 56 ,16/06/20,$2340萬,1830呎 ,-, $12787 ,-,-,-
天鑄 1期 6座  19樓 C室, 5 ,16/06/20,$4500萬,1266呎 ,-, $35545 ,-,[ 395天,無升跌]
 欣圖軒 3座  19樓 E室, 22 ,15/06/20,$750萬,487呎 ,612呎 , $15400 , $12255 ,-,-
  爵園  11樓 D室, 56 ,15/06/20,$1600萬,1061呎 ,-, $15080 ,-,-,-
 俊民苑 文賀閣 (D座)  十四樓 9室, 39 ,15/06/20,$717萬,519呎 ,623呎 , $13805 , $11501 ,-,-
  SKY GARDEN  20樓 B室, 16 ,15/06/20,$1150萬,610呎 ,797呎 , $18852 , $14429 ,[ 3224天,升34%]
 傲玟 3座  8樓 A室, 0 ,12/06/20,$3513萬,1228呎 ,-, $28610 ,-,-,-
 皓畋 10座  15樓 A室, 3 ,12/06/20,$3180萬,943呎 ,-, $33722 ,-,-,-
 恆信園 5期  15樓 B室, 48 ,12/06/20,$2150萬,1324呎 ,-, $16239 ,-,-,-
  DUNBAR PLACE  19樓 C室, 7 ,12/06/20,$3080萬,1210呎 ,-, $25455 ,-,[ 1104天,跌2%]
  嘉樂苑  2樓 B室, 27 ,12/06/20,$610萬,401呎 ,607呎 , $15212 , $10049 ,[ 2891天,升77%]
半山壹號 2期 富甲半山 半山徑20號  53樓 20號, 11 ,11/06/20,$2268萬,1137呎 ,1491呎 , $19947 , $15211 ,[ 3910天,升12%]
  春曉園  4樓 A室, 45 ,11/06/20,$2043萬,1270呎 ,1447呎 , $16087 , $14119 ,[ 3547天,升46%]
  勝利道1號  11樓 C室, 9 ,10/06/20,$417萬,226呎 ,350呎 , $18442 , $11909 ,[ 1131天,升10%]
  冠熹苑  26樓 8室, 20 ,10/06/20,$480萬,429呎 ,577呎 , $11189 , $8319 ,-,-
 寶雲閣 3座  15樓 A室, 44 ,10/06/20,$1000萬,668呎 ,691呎 , $14970 , $14472 ,[ 1352天,升24%]
  加多利軒  17樓 A室, 2 ,10/06/20,$1021萬,389呎 ,-, $26250 ,-,-,-
  麗苑  10樓 A室, 55 ,09/06/20,$1850萬,1227呎 ,1400呎 , $15077 , $13214 ,[ 5825天,升350%]
  碧佳閣  五樓 F室, 35 ,09/06/20,$943萬,552呎 ,784呎 , $17083 , $12028 ,-,-
 爵士花園 2座  21樓 C室, 25 ,09/06/20,$1630萬,791呎 ,995呎 , $20607 , $16382 ,[ 6182天,升347%]
 冠德苑 C座  19樓 7室, 0 ,09/06/20,$417萬,483呎 ,-, $8640 ,-,-,-
 皓畋 5座  10樓 C室, 3 ,08/06/20,$1205萬,587呎 ,-, $20528 ,-,[ 1375天,升13%]
 皓畋 3座  26樓 G室, 3 ,08/06/20,$6100萬,1361呎 ,-, $44820 ,-,-,-
  加多利軒  9樓 H室, 2 ,08/06/20,$450萬,180呎 ,-, $25000 ,-,[ 1327天,升17%]
  瓊林別墅 (A-B座)  十二樓 A1室, 54 ,08/06/20,$1168萬,741呎 ,-, $15762 ,-,[ 5560天,升387%]
 巴富花園 宜富閣  19樓 E室, 40 ,08/06/20,$1730萬,994呎 ,1135呎 , $17404 , $15242 ,[ 7128天,升268%]
  冠熹苑  37樓 5室, 20 ,08/06/20,$645萬,531呎 ,714呎 , $12147 , $9034 ,-,-
  恆山閣  5樓 5室, 39 ,05/06/20,$538萬,336呎 ,418呎 , $16012 , $12871 ,[ 1178天,升39%]
 文德苑 1座  4樓 A室, 29 ,05/06/20,$1500萬,936呎 ,1075呎 , $16026 , $13953 ,[ 7187天,升300%]
  萬基大廈  九樓 A室, 54 ,05/06/20,$1000萬,780呎 ,1100呎 , $12821 , $9091 ,[ 4523天,升127%]
  蔚景樓  二十二樓 C室, 45 ,04/06/20,$580萬,340呎 ,438呎 , $17059 , $13242 ,[ 5884天,升634%]
 欣圖軒 3座  7樓 E室, 22 ,04/06/20,$772萬,490呎 ,616呎 , $15755 , $12532 ,-,-
 俊民苑 文宗閣 (E座)  十六樓 9室, 39 ,04/06/20,$680萬,519呎 ,623呎 , $13102 , $10915 ,-,-
 皓畋 10座  18樓 A室, 3 ,04/06/20,$3162萬,943呎 ,-, $33531 ,-,-,-
 皓畋 6座  16樓 D室, 3 ,04/06/20,$1238萬,554呎 ,-, $22347 ,-,[ 1166天,升5%]
 冠德苑 B座  6樓 8室, 0 ,04/06/20,$469萬,563呎 ,-, $8323 ,-,-,-
 皓畋 2座  9樓 H室, 3 ,03/06/20,$1320萬,-,-,-,-,[ 1338天,升5%]
  龍柏花園  18樓 C室, 25 ,03/06/20,$1125萬,606呎 ,830呎 , $18564 , $13554 ,[ 8628天,升46%]
 御龍居 1座  26-27樓 B室, 22 ,03/06/20,$2618萬,1267呎 ,1682呎 , $20663 , $15565 ,[ 1311天,升36%]
 皓畋 9座  11樓 A室, 3 ,02/06/20,$3400萬,960呎 ,-, $35417 ,-,-,-
 皓畋 10座  5樓 A室, 3 ,02/06/20,$3200萬,943呎 ,-, $33934 ,-,-,-
  恆山閣  3樓 3室, 39 ,02/06/20,$508萬,349呎 ,433呎 , $14556 , $11732 ,-,-
 傲玟 2座  11樓 B室, 0 ,02/06/20,$4389萬,1425呎 ,-, $30800 ,-,-,-
 爵士花園 3座  6樓 A室, 25 ,01/06/20,$1828萬,859呎 ,1075呎 , $21281 , $17005 ,[ 1931天,升32%]
 傲玟 3座  8樓 C室, 0 ,01/06/20,$2824萬,934呎 ,-, $30238 ,-,-,-
 加林閣 3座  12樓 A室, 39 ,01/06/20,$2000萬,1033呎 ,1331呎 , $19361 , $15026 ,-,-
  麗豪閣  5樓 D室, 31 ,01/06/20,$1600萬,978呎 ,1220呎 , $16360 , $13115 ,[ 6044天,升333%]
  春曉園  3樓 A室, 45 ,29/05/20,$1520萬,1270呎 ,1447呎 , $11969 , $10504 ,-,-
  全發大廈  十一樓 C室, 42 ,28/05/20,$518萬,366呎 ,-, $14153 ,-,[ 2480天,升67%]
 傲玟 2座  5樓 B室, 0 ,28/05/20,$4053萬,1425呎 ,-, $28445 ,-,-,-
 傲玟 2座  10樓 B室, 0 ,28/05/20,$4225萬,1425呎 ,-, $29650 ,-,-,-
  帝國大廈  2樓 D室, 60 ,28/05/20,$690萬,802呎 ,-, $8603 ,-,[ 5688天,升341%]
  富臨閣  十一樓 A室, 41 ,27/05/20,$680萬,425呎 ,532呎 , $16000 , $12782 ,[ 1440天,升48%]
  君逸山  16樓 G室, 17 ,27/05/20,$900萬,478呎 ,658呎 , $18828 , $13678 ,[ 2672天,升50%]
 俊民苑 文福閣 (A座)  十五樓 3室, 40 ,27/05/20,$685萬,525呎 ,629呎 , $13048 , $10890 ,-,-
 雅麗居 2座  8樓 F室, 25 ,27/05/20,$1360萬,704呎 ,903呎 , $19318 , $15061 ,[ 2811天,升44%]
 君頤峰 5座  19樓 A室, 16 ,27/05/20,$2250萬,1008呎 ,1309呎 , $22321 , $17189 ,[ 3803天,升73%]
  柏德豪廷  12樓 C室, 16 ,27/05/20,$680萬,568呎 ,765呎 , $11972 , $8889 ,[ 2874天,升31%]
 傲玟 2座  7樓 A室, 0 ,26/05/20,$4021萬,1403呎 ,-, $28659 ,-,-,-
 欣圖軒 2座  12樓 B室, 22 ,26/05/20,$730萬,471呎 ,591呎 , $15499 , $12352 ,-,-
 俊民苑 文彥閣 (M座)  十四樓 9室, 39 ,25/05/20,$720萬,519呎 ,623呎 , $13873 , $11557 ,-,-
 恆信園 2期  四樓 90號, 54 ,25/05/20,$1665萬,1378呎 ,-, $12083 ,-,-,-
 恆信園 6期  10樓 C室, 48 ,25/05/20,$1380萬,987呎 ,-, $13982 ,-,-,-
  冠熹苑  16樓 16室, 20 ,22/05/20,$642萬,539呎 ,724呎 , $11911 , $8867 ,-,-
 欣圖軒 3座  9樓 H室, 22 ,22/05/20,$760萬,539呎 ,688呎 , $14100 , $11047 ,-,-
  玉華大廈  六樓 1A號, 57 ,22/05/20,$1318萬,1041呎 ,-, $12661 ,-,-,-
 皓畋 10座  11樓 A室, 3 ,21/05/20,$3350萬,943呎 ,-, $35525 ,-,-,-
  太平閣  8樓 B室, 29 ,21/05/20,$520萬,299呎 ,457呎 , $17391 , $11379 ,[ 2901天,升77%]
 俊民苑 文明閣 (J座)  十四樓 2室, 40 ,21/05/20,$580萬,485呎 ,582呎 , $11959 , $9966 ,-,-
  松亭閣  四樓 C室, 41 ,21/05/20,$898萬,560呎 ,750呎 , $16036 , $11973 ,[ 1140天,升28%]
 鼎峰大廈 1座  5樓 C1室, 55 ,20/05/20,$1550萬,1173呎 ,-, $13214 ,-,[ 2222天,升26%]
 傲玟 3座  8樓 D室, 0 ,20/05/20,$2644萬,939呎 ,-, $28160 ,-,-,-
  文安大廈  4樓 B室, 40 ,20/05/20,$513萬,265呎 ,343呎 , $19358 , $14956 ,[ 2644天,升45%]
 傲玟 2座  5樓 A室, 0 ,20/05/20,$3931萬,1403呎 ,-, $28018 ,-,-,-
  成德大廈  五樓 4室, 58 ,19/05/20,$920萬,832呎 ,-, $11058 ,-,-,-
 雅士花園 2座  5樓 E室, 29 ,19/05/20,$1678萬,886呎 ,1110呎 , $18939 , $15117 ,[ 2356天,升63%]
  加多利軒  11樓 A室, 2 ,19/05/20,$989萬,389呎 ,-, $25430 ,-,-,-
  春曉園  6樓 A室, 45 ,19/05/20,$2200萬,1270呎 ,1447呎 , $17323 , $15204 ,[ 5777天,升479%]
 傲玟 2座  15樓 A室, 0 ,18/05/20,$4378萬,1403呎 ,-, $31206 ,-,-,-
 傲玟 2座  9樓 B室, 0 ,18/05/20,$4185萬,1425呎 ,-, $29366 ,-,-,-
 傲玟 2座  6樓 B室, 0 ,18/05/20,$4086萬,1425呎 ,-, $28672 ,-,-,-
 傲玟 2座  6樓 A室, 0 ,18/05/20,$3934萬,1403呎 ,-, $28039 ,-,-,-
  恆山閣  13樓 1室, 39 ,15/05/20,$520萬,336呎 ,418呎 , $15476 , $12440 ,[ 1138天,升22%]
 爵士花園 3座  21樓 B室, 25 ,15/05/20,$1680萬,791呎 ,995呎 , $21239 , $16884 ,[ 7994天,升153%]
 傲玟 2座  8樓 B室, 0 ,15/05/20,$4175萬,1425呎 ,-, $29295 ,-,-,-
 傲玟 2座  7樓 B室, 0 ,15/05/20,$4118萬,1425呎 ,-, $28902 ,-,-,-
 傲玟 2座  12樓 B室, 0 ,15/05/20,$4462萬,1425呎 ,-, $31312 ,-,-,-
  百樂大廈  四樓 A室 (322號), 56 ,14/05/20,$608萬,718呎 ,-, $8468 ,-,[ 3766天,升110%]
 俊民苑 文宗閣 (E座)  四樓 3室, 39 ,13/05/20,$660萬,525呎 ,629呎 , $12571 , $10493 ,-,-
 寶雲閣 2座  1樓 A室, 44 ,13/05/20,$1130萬,815呎 ,938呎 , $13865 , $12047 ,[ 6009天,升418%]
  明園  6樓 B室, 31 ,13/05/20,$1160萬,714呎 ,1147呎 , $16246 , $10113 ,[ 8237天,升78%]
  澤豐大廈  十一樓 A室, 54 ,13/05/20,$560萬,558呎 ,-, $10036 ,-,-,-
 皓畋 10座  18樓 B室, 3 ,13/05/20,$4555萬,1300呎 ,-, $35038 ,-,-,-
 巴富花園 宜富閣  20樓 E室, 40 ,12/05/20,$1760萬,994呎 ,1135呎 , $17706 , $15507 ,[ 1410天,升31%]
 富威花園 D座  二十三樓 3室, 36 ,12/05/20,$473萬,260呎 ,413呎 , $18192 , $11453 ,[ 6741天,升369%]
  加多利軒  15樓 A室, 2 ,12/05/20,$995萬,389呎 ,-, $25567 ,-,-,-
天鑄 2期 5座  5樓 B室, 4 ,08/05/20,$2720萬,1204呎 ,-, $22591 ,-,[ 1466天,升9%]
  麗晶樓  4樓 B室, 53 ,08/05/20,$835萬,712呎 ,432呎 , $11728 , $19329 ,[ 1498天,升7%]
 雅麗居 2座  5樓 D室, 25 ,08/05/20,$880萬,529呎 ,705呎 , $16635 , $12482 ,[ 6095天,升342%]
 皓畋 2座  7樓 D室, 3 ,08/05/20,$1480萬,699呎 ,-, $21173 ,-,[ 1320天,升24%]
 帝庭園 3座  3樓 B室, 24 ,08/05/20,$1700萬,1258呎 ,1483呎 , $13514 , $11463 ,[ 6583天,升186%]
  君逸山  7樓 A室, 17 ,07/05/20,$850萬,497呎 ,666呎 , $17103 , $12763 ,[ 3820天,升141%]
 富威花園 D座  二十四樓 3室, 36 ,07/05/20,$478萬,260呎 ,413呎 , $18385 , $11574 ,[ 3759天,升156%]
  嘉樂苑  14樓 A室, 27 ,06/05/20,$638萬,411呎 ,607呎 , $15523 , $10511 ,[ 3228天,升72%]
  華美閣  2樓 237號, 61 ,06/05/20,$1000萬,1076呎 ,-, $9294 ,-,[ 2532天,升3%]
  嘉景花園大廈  5樓 C室, 49 ,06/05/20,$1100萬,790呎 ,-, $13924 ,-,-,-
  何文田街64號  六樓 64號, 61 ,06/05/20,$1750萬,1625呎 ,2000呎 , $10769 , $8750 ,[ 7792天,升215%]
  君逸山  20樓 E室, 17 ,05/05/20,$898萬,489呎 ,653呎 , $18364 , $13752 ,[ 4347天,升127%]
  松亭閣  七樓 B室, 41 ,05/05/20,$700萬,560呎 ,-, $12500 ,-,-,-
 ONE HOMANTIN 3座  2樓 C室, 3 ,27/04/20,$1000萬,508呎 ,-, $19685 ,-,[ 1345天,升22%]
  君逸山  6樓 E室, 17 ,27/04/20,$920萬,489呎 ,653呎 , $18814 , $14089 ,[ 3322天,升100%]
 冠德苑 C座  5樓 7室, 0 ,27/04/20,$391萬,483呎 ,-, $8095 ,-,-,-
  太平閣  3樓 C室, 29 ,23/04/20,$498萬,299呎 ,457呎 , $16656 , $10897 ,[ 1963天,升41%]
  富臨閣  十九樓 C室, 41 ,23/04/20,$680萬,423呎 ,530呎 , $16076 , $12830 ,[ 7949天,升178%]
半山壹號 1期 半山徑32號  29樓 32號, 11 ,22/04/20,$2448萬,1252呎 ,1636呎 , $19553 , $14963 ,[ 3180天,升44%]
  巴芬閣  1樓 11號, 44 ,22/04/20,$998萬,654呎 ,870呎 , $15260 , $11471 ,[ 3975天,升154%]
  華欣閣  3樓 A室, 41 ,21/04/20,$527萬,307呎 ,381呎 , $17166 , $13832 ,[ 1137天,升34%]
  益南華廈  十一樓 B室 (488號), 58 ,21/04/20,$528萬,682呎 ,-, $7746 ,-,[ 4727天,升224%]
 富威花園 D座  九樓 2室, 36 ,20/04/20,$463萬,260呎 ,414呎 , $17808 , $11184 ,[ 1273天,升26%]
 俊民苑 文蘭閣 (C座)  四樓 2室, 40 ,20/04/20,$607萬,485呎 ,582呎 , $12511 , $10426 ,-,-
 翠華大廈 4座  8樓 D室, 59 ,17/04/20,$1700萬,1259呎 ,-, $13503 ,-,-,-
 皓畋 8座  6樓 E室, 3 ,17/04/20,$1088萬,594呎 ,-, $18316 ,-,[ 1246天,升9%]
 巴富洋樓 B2座  8樓 D室, 46 ,16/04/20,$1800萬,1195呎 ,-, $15063 ,-,-,-
 恆信園 2期  八樓 90號, 54 ,16/04/20,$1700萬,1378呎 ,-, $12337 ,-,-,-
 嘉輝臺 B座  13樓 B2室, 42 ,16/04/20,$1260萬,1013呎 ,1140呎 , $12438 , $11053 ,[ 8555天,升98%]
 皓畋 1座  7樓 A室, 3 ,16/04/20,$998萬,506呎 ,-, $19723 ,-,[ 1392天,跌1%]
  僑宏大廈  6樓 C室, 55 ,16/04/20,$1208萬,840呎 ,-, $14381 ,-,[ 2469天,升37%]
 ONE HOMANTIN 3座  5樓 C室, 3 ,15/04/20,$992萬,508呎 ,-, $19528 ,-,[ 1380天,升9%]
  鴻星大廈  十六樓 482號, 56 ,15/04/20,$629萬,658呎 ,-, $9559 ,-,[ 2972天,升215%]
  嘉華閣  四樓 A室, 48 ,15/04/20,$1223萬,1024呎 ,-, $11943 ,-,-,-
  嘉多利豪園  29樓 A室, 18 ,14/04/20,$1595萬,663呎 ,-, $24057 ,-,[ 5569天,升178%]
  冠熹苑  5樓 9室, 20 ,14/04/20,$530萬,426呎 ,573呎 , $12441 , $9250 ,-,-
  德信園  12樓 B室, 55 ,14/04/20,$1000萬,651呎 ,-, $15361 ,-,[ 2912天,升61%]
  SKY GARDEN  15樓 C室, 16 ,14/04/20,$1680萬,739呎 ,1005呎 , $22733 , $16716 ,[ 5095天,升158%]
 皓畋 5座  5樓 A室, 3 ,09/04/20,$2100萬,865呎 ,-, $24277 ,-,[ 1235天,升1%]
 雅麗居 1座  11樓 A室, 25 ,09/04/20,$1236萬,693呎 ,900呎 , $17835 , $13733 ,[ 2752天,升41%]
  寶堡大廈  3樓 D室, 25 ,09/04/20,$990萬,642呎 ,803呎 , $15421 , $12329 ,[ 5186天,升137%]
  康麗花園  3樓 F室, 31 ,09/04/20,$1228萬,679呎 ,830呎 , $18085 , $14795 ,[ 8573天,升173%]
 冠暉苑 高暉閣 (B座)  8樓 24室, 21 ,08/04/20,$425萬,291呎 ,-, $14605 ,-,-,-
 俊民苑 文明閣 (J座)  三樓 4室, 40 ,08/04/20,$600萬,519呎 ,623呎 , $11561 , $9631 ,-,-
  華苑  10樓 C室, 56 ,07/04/20,$1438萬,991呎 ,1100呎 , $14511 , $13073 ,[ 1359天,升58%]
 富威花園 D座  四樓 1室, 36 ,06/04/20,$438萬,260呎 ,413呎 , $16846 , $10605 ,[ 3288天,升57%]
半山壹號 1期 半山徑33號  12樓 33號, 11 ,06/04/20,$2328萬,1252呎 ,1636呎 , $18594 , $14230 ,[ 4316天,升50%]
  金富大廈  19樓 A2室, 40 ,06/04/20,$693萬,445呎 ,-, $15573 ,-,[ 1249天,升16%]
