adress,age,reg_date,price,实用面积,建筑面积,tdtr1uprice,tdtrlGuprice,tdtr1ltdayheldd,tdtr1ltperc
 雅閣花園 1座  頂層 B室, 31 ,30/05/18,$1300萬,916呎 ,1289呎 , $14192 , $10085 ,[ 3013天,升72%]
  明德園  8樓 C室, 56 ,30/05/18,$1980萬,1507呎 ,-, $13139 ,-,-,-
 皓畋 10座  21樓 F室, 3 ,29/05/18,$1488萬,539呎 ,-, $27607 ,-,-,-
 皓畋 3座  25樓 E室, 3 ,29/05/18,$1611萬,564呎 ,-, $28570 ,-,-,-
 皓畋 6座  5樓 D室, 3 ,29/05/18,$1103萬,454呎 ,-, $24302 ,-,-,-
 皓畋 6座  7樓 D室, 3 ,29/05/18,$1117萬,454呎 ,-, $24605 ,-,-,-
  碧佳閣  四樓 E室, 35 ,29/05/18,$780萬,552呎 ,784呎 , $14130 , $9949 ,[ 3185天,升119%]
  利寶大廈  十一樓 B室 (120號), 56 ,29/05/18,$1500萬,1119呎 ,-, $13405 ,-,[ 5592天,升757%]
 寶雲閣 1座  1樓 D室, 44 ,29/05/18,$920萬,649呎 ,740呎 , $14176 , $12432 ,[ 4163天,升241%]
  KADOORIA  5樓 115號, 4 ,28/05/18,$5886萬,1267呎 ,-, $46456 ,-,-,-
  KADOORIA  2樓 133號, 4 ,28/05/18,$9400萬,2220呎 ,-, $42342 ,-,-,-
 君柏 7座  16樓 A室, 4 ,28/05/18,$4257萬,1667呎 ,-, $25539 ,-,-,-
 ONE HOMANTIN 7座  7樓 E室, 3 ,28/05/18,$1725萬,730呎 ,-, $23623 ,-,-,-
 皓畋 3座  25樓 D室, 3 ,28/05/18,$1571萬,529呎 ,-, $29706 ,-,-,-
  龍文大廈  10樓 C室, 57 ,28/05/18,$860萬,665呎 ,-, $12932 ,-,[ 6147天,升294%]
  蘭亭閣  1樓 B室, 48 ,25/05/18,$1300萬,959呎 ,-, $13556 ,-,-,-
 皓畋 1座  26樓 J室, 3 ,25/05/18,$1131萬,403呎 ,-, $28073 ,-,-,-
 ONE HOMANTIN 3座  17樓 E室, 3 ,25/05/18,$1226萬,513呎 ,-, $23906 ,-,-,-
 皓畋 7座  6樓 E室, 3 ,25/05/18,$1297萬,528呎 ,-, $24572 ,-,-,-
  集貴大廈  12樓 67C號, 23 ,25/05/18,$620萬,325呎 ,639呎 , $19077 , $9703 ,-,-
 君頤峰 6座  31樓 C室, 16 ,25/05/18,$3650萬,1341呎 ,1757呎 , $27218 , $20774 ,[ 4735天,升112%]
